,loss,accuracy,val_loss,val_accuracy
1,1.7080,0.3000,1.6920,0.2982
2,1.6967,0.3076,1.6798,0.2982
3,1.6920,0.2982,1.6705,0.2982
4,1.6645,0.3722,1.6632,0.2982
5,1.6798,0.2982,1.6574,0.2982
6,1.6315,0.4274,1.6506,0.2982
7,1.6705,0.2982,1.6431,0.2982
8,1.5913,0.5473,1.6361,0.2982
9,1.6632,0.2982,1.6286,0.2982
10,1.5442,0.5757,1.6218,0.2982
11,1.6574,0.2982,1.6139,0.2982
12,1.4637,0.6125,1.6059,0.3041
13,1.6506,0.2982,1.5963,0.3099
14,1.3791,0.6136,1.5886,0.3158
15,1.6431,0.2982,1.5793,0.3216
16,1.2971,0.6009,1.5739,0.3743
17,1.6361,0.2982,1.5626,0.4211
18,1.2079,0.6325,1.5515,0.4327
19,1.6286,0.2982,1.5480,0.4386
20,1.1420,0.6293,1.5305,0.4444
21,1.6218,0.2982,1.5185,0.4503
22,1.0748,0.6546,1.5007,0.4503
23,1.6139,0.2982,1.4900,0.4503
24,0.9910,0.6877,1.4437,0.4795
25,1.6059,0.3041,1.4418,0.4795
26,0.9570,0.6924,1.4120,0.4854
27,1.5963,0.3099,1.4116,0.4737
28,0.8949,0.7019,1.4065,0.4795
29,1.5886,0.3158,1.4020,0.4854
30,0.8446,0.7145,1.3818,0.5146
31,1.5793,0.3216,1.3349,0.5556
32,0.7869,0.7319,1.3163,0.5322
33,1.5739,0.3743,1.2734,0.5497
34,0.7309,0.7618,1.2414,0.5497
35,1.5626,0.4211,1.1807,0.5906
36,0.7152,0.7918,1.1513,0.6199
37,1.5515,0.4327,1.1547,0.6023
38,0.6807,0.8076,1.1236,0.5906
39,1.5480,0.4386,1.0642,0.6374
40,0.6553,0.8265,1.1473,0.5146
41,1.5305,0.4444,1.1007,0.5380
42,0.6083,0.8391,1.0816,0.5497
43,1.5185,0.4503,1.0435,0.5263
44,0.5820,0.8454,0.9345,0.6433
45,1.5007,0.4503,1.0628,0.5322
46,0.5644,0.8672,0.9861,0.5789
47,1.4900,0.4503,1.0320,0.5673
48,0.5141,0.8785,1.0624,0.5673
49,1.4437,0.4795,1.0424,0.5789
50,0.4919,0.8849,0.9794,0.5848
51,1.4418,0.4795,1.0083,0.6023
52,0.4685,0.8991,0.9814,0.6023
53,1.4120,0.4854,1.1263,0.5614
54,0.4510,0.9085,0.9390,0.6082
55,1.4116,0.4737,0.8490,0.7018
56,0.4230,0.9148,0.8193,0.7368
57,1.4065,0.4795,0.7380,0.7602
58,0.4011,0.9448,0.8179,0.7251
59,1.4020,0.4854,0.8034,0.7310
60,0.3893,0.9401,0.7595,0.7778
61,1.3818,0.5146,0.7516,0.7661
62,0.3800,0.9401,0.7813,0.7193
63,1.3349,0.5556,0.7339,0.7661
64,0.3628,0.9606,0.8063,0.6784
65,1.3163,0.5322,0.8155,0.7193
66,0.3299,0.9732,0.7170,0.7485
67,1.2734,0.5497,0.6691,0.7836
68,0.3287,0.9700,0.7866,0.7310
69,1.2414,0.5497,0.7137,0.7661
70,0.3221,0.9748,0.6872,0.7602
71,1.1807,0.5906,0.6458,0.8129
72,0.3073,0.9858,0.6458,0.7602
73,1.1513,0.6199,0.7245,0.7544
74,0.3066,0.9811,0.7245,0.7251
75,1.1547,0.6023,0.742,0.7310
76,0.2800,0.9921,0.7420,0.7836
77,1.1236,0.5906,0.79,0.7602
78,0.2889,0.9811,0.7900,0.8246
79,1.0642,0.6374,0.8421,0.8304
80,0.2669,0.9905,0.8421,0.7427
81,1.1473,0.5146,0.6718,0.7719
82,0.2589,0.9937,0.6718,0.7953
83,1.1007,0.5380,0.6877,0.7953
84,0.2433,0.9922,0.6877,0.7953
85,1.0816,0.5497,0.5935,0.7602
86,0.2381,0.9905,0.5935,0.7719
87,1.0435,0.5263,0.6056,0.8012
88,0.2343,0.9937,0.6056,0.8363
89,0.9345,0.6433,0.8256,0.8246
90,0.2270,0.9905,0.8256,0.8187
91,1.0628,0.5322,0.7599,0.8655
92,0.2214,0.9968,0.7599,0.8480
93,0.9861,0.5789,0.6318,0.8480
94,0.2226,0.9890,0.6318,0.8421
95,1.0320,0.5673,0.6661,0.8538
96,0.2065,0.9968,0.6661,0.8304
97,1.0624,0.5673,0.7659,0.8363
98,0.2068,0.9984,0.7659,0.8713
99,1.0424,0.5789,0.8016,0.8538
100,0.2068,0.9968,0.8016,0.8363
101,0.9794,0.5848,0.7395,0.8363
102,0.1950,1.0000,0.7395,0.8480
103,1.0083,0.6023,0.6969,0.8538
104,0.2052,0.9953,0.6969,0.8655
105,0.9814,0.6023,0.6413,0.8480
106,0.1916,0.9984,0.6413,0.8538
107,1.1263,0.5614,0.6321,0.8596
108,0.1976,0.9953,0.6321,0.8772
109,0.9390,0.6082,0.6435,0.8480
110,0.1867,0.9968,0.5176,0.8713
111,0.8490,0.7018,0.5176,0.8947
112,0.1816,0.9968,0.5462,0.8772
113,0.8193,0.7368,0.5462,0.8830
114,0.1865,0.9969,0.526,0.8947
115,0.7380,0.7602,0.5260,0.8889
116,0.1875,0.9937,0.5887,0.8889
117,0.8179,0.7251,0.5196,0.8480
118,0.1854,0.9937,0.5196,0.8480
119,0.8034,0.7310,0.6390,0.8596
120,0.1731,0.9984,0.5926,0.8538
121,0.7595,0.7778,0.5529,0.8830
122,0.1742,0.9968,0.5529,0.8655
123,0.7516,0.7661,0.5548,0.8655
124,0.1732,0.9953,0.6029,0.8129
125,0.7813,0.7193,0.5621,0.8596
126,0.1727,0.9984,0.5598,0.8655
127,0.7339,0.7661,0.5411,0.8889
128,0.1662,0.9968,0.4986,0.8538
129,0.8063,0.6784,0.4986,0.8538
130,0.1700,0.9984,0.5871,0.8596
131,0.8155,0.7193,0.5612,0.8772
132,0.1708,0.9968,0.5348,0.8713
133,0.7170,0.7485,0.4802,0.8772
134,0.1578,1.0000,0.4802,0.8713
135,0.6691,0.7836,0.5564,0.8480
136,0.1630,0.9968,0.4763,0.8012
137,0.7866,0.7310,0.4763,0.8772
138,0.1571,1.0000,0.4203,0.8655
139,0.7137,0.7661,0.4203,0.8830
140,0.1540,1.0000,0.4608,0.8246
141,0.6872,0.7602,0.4608,0.8480
142,0.1585,1.0000,0.4499,0.8596
143,0.6458,1.0000,0.4499,0.8596
144,0.1585,0.8129,0.432,0.8713
145,0.6458,0.9968,0.4320,0.8596
146,0.1682,0.9968,0.4314,0.7836
147,0.7245,0.7602,0.4314,0.8596
148,0.1682,1.0000,0.4366,0.8830
149,0.7245,1.0000,0.5587,0.8655
150,0.1535,0.7544,0.5948,0.8596
151,0.742,1.0000,0.5241,0.8538
152,0.1535,1.0000,0.5582,0.7953
153,0.7420,0.7251,0.4634,0.7719
154,0.1499,0.9968,0.4650,0.7661
155,0.79,0.9968,0.4892,0.7895
156,0.1499,0.7310,0.6445,0.8830
157,0.7900,1.0000,0.4974,0.8830
158,0.1541,1.0000,0.4644,0.8947
159,0.8421,0.7836,0.3762,0.8947
160,0.1541,0.9984,0.3762,0.8889
161,0.8421,0.9984,0.4942,0.8713
162,0.1476,0.7602,0.4115,0.8363
163,0.6718,1.0000,0.4187,0.8655
164,0.1476,1.0000,0.4237,0.8538
165,0.6718,0.8246,0.4197,0.8596
166,0.1442,1.0000,0.3877,0.8830
167,0.6877,1.0000,0.3937,0.8713
168,0.1442,0.8304,0.5440,0.8830
169,0.6877,0.9984,0.6559,0.8596
170,0.1526,0.9984,0.4603,0.9123
171,0.5935,0.7427,0.5076,0.9006
172,0.1526,1.0000,0.4603,0.9123
173,0.5935,1.0000,0.6607,0.9181
174,0.1419,0.7719,0.5520,0.9123
175,0.6056,0.9984,0.5112,0.8538
176,0.1419,0.9984,0.4902,0.8538
177,0.6056,0.7953,0.4892,0.8538
178,0.1490,1.0000,0.5080,0.9240
179,0.8256,1.0000,0.8014,0.9298
180,0.1490,0.7953,0.8014,0.9123
181,0.8256,1.0000,0.5012,0.8655
182,0.1471,1.0000,0.4981,0.9123
183,0.7599,0.7953,0.5008,0.8655
184,0.1471,0.9953,0.5375,0.8070
185,0.7599,0.9953,0.5127,0.8246
186,0.1445,0.7602,0.7033,0.7661
187,0.6318,1.0000,0.7033,0.8129
188,0.1445,1.0000,0.7351,0.8596
189,0.6318,0.7719,0.7351,0.9357
190,0.1403,1.0000,0.7206,0.9357
191,0.6661,1.0000,0.7206,0.9240
192,0.1403,0.8012,0.6589,0.9532
193,0.6661,1.0000,0.6589,0.9123
194,0.1442,1.0000,0.4904,0.9123
195,0.7659,0.8363,0.4748,0.9123
196,0.1442,1.0000,0.442,0.9123
197,0.7659,1.0000,0.4420,0.9357
198,0.1553,0.8246,0.4618,0.9064
199,0.8016,1.0000,0.4618,0.8947
200,0.1553,0.8187,0.4674,0.8830
201,0.8016,0.9984,0.4995,0.8947
202,0.1393,0.9984,0.6044,0.8947
203,0.7395,0.8655,0.5169,0.9123
204,0.1393,1.0000,0.5786,0.8596
205,0.7395,1.0000,0.5538,0.8947
206,0.1420,0.8480,0.5330,0.8772
207,0.6969,0.9968,0.5296,0.8889
208,0.1420,0.9968,0.4825,0.9064
209,0.6969,0.8480,0.5423,0.9064
210,0.1405,0.9968,0.3729,0.9123
211,0.6413,0.8421,0.3729,0.8947
212,0.1405,0.9984,0.4144,0.9064
213,0.6413,0.9984,0.3942,0.9181
214,0.1427,0.8538,0.3942,0.9123
215,0.6321,1.0000,0.3805,0.9181
216,0.1427,0.8304,0.3805,0.9123
217,0.6321,1.0000,0.3865,0.9006
218,0.1387,0.8363,0.5387,0.9064
219,0.6435,0.9984,0.5096,0.9006
220,0.1512,0.9984,0.5081,0.9006
221,0.5176,0.8713,0.3688,0.8947
222,0.1512,1.0000,0.3688,0.9123
223,0.5176,0.8538,0.3567,0.9064
224,0.1358,0.9953,0.3567,0.9298
225,0.5462,0.8363,0.3737,0.9357
226,0.1358,0.9984,0.3737,0.9357
227,0.5462,0.8363,0.5020,0.9357
228,0.1478,1.0000,0.3211,0.9298
229,0.526,0.8480,0.3211,0.9591
230,0.1478,0.9984,0.4486,0.9474
231,0.5260,0.8538,0.6123,0.9415
232,0.1449,0.9984,0.6187,0.9357
233,0.5887,0.9984,0.7781,0.9532
234,0.1384,0.8655,0.7781,0.9649
235,0.5196,0.9984,0.6297,0.9357
236,0.1384,0.8480,0.4689,0.9415
237,0.5196,0.9984,0.3178,0.9474
